id,STATE,TRANSACTION_AMT
1,AZ,2111945
2,TX,8101871
3,CA,19999115
4,DC,1880945
5,DE,584351
6,FL,8128789
7,MD,2923730
8,NY,11468537
9,GA,2581335
10,MO,1268066
11,AL,710520
12,IL,3788997
13,UT,560221
14,WA,4455361
15,NOT PROVIDED,30802
16,NC,2512529
17,PR,24712
18,NJ,2534540
19,MA,5187957
20,OH,2156665
21,VA,3659134
22,IN,956410
23,SC,1066465
24,TN,1471755
25,OK,947475
26,MN,1765960
27,RI,328798
28,ND,137452
29,KS,533604
30,AR,426275
31,MI,2129348
32,PA,3501967
33,WV,190905
34,NV,1244634
35,LA,719944
36,CO,2600534
37,IA,475204
38,WY,393809
39,OR,1999391
40,ME,430807
41,NM,784378
42,WI,1166213
43,NH,773455
44,HI,419593
45,CT,1409417
46,NE,287897
47,ZZ,243908
48,SD,189749
49,MT,322684
50,KY,581803
51,ID,398479
52,MS,363791
53,VT,264591
54,AK,439814
55,GU,63960
56,AP,7403
57,AE,29223
58,VI,13295
59,AA,4560
60,AS,232
61,PW,449
62,MP,609
63,FM,63
